"awayteam","date","hometeam"
"Crystal Palace","16 August","Arsenal"
"Chelsea","16 August","Burnley"
"Everton","16 August","Leicester"
"Southampton","16 August","Liverpool"
"Swansea","16 August","Man Utd"
"Man City","16 August","Newcastle"
"Hull","16 August","QPR"
"Aston Villa","16 August","Stoke"
"Sunderland","16 August","West Brom"
"Spurs","16 August","West Ham"
"Newcastle","23 August","Aston Villa"
"Leicester","23 August","Chelsea"
"West Ham","23 August","Crystal Palace"
"Arsenal","23 August","Everton"
"Stoke","23 August","Hull"
"Liverpool","23 August","Man City"
"West Brom","23 August","Southampton"
"QPR","23 August","Spurs"
"Man Utd","23 August","Sunderland"
"Burnley","23 August","Swansea"
"Hull","30 August","Aston Villa"
"Man Utd","30 August","Burnley"
"Chelsea","30 August","Everton"
"Arsenal","30 August","Leicester"
"Stoke","30 August","Man City"
"Crystal Palace","30 August","Newcastle"
"Sunderland","30 August","QPR"
"Liverpool","30 August","Spurs"
"West Brom","30 August","Swansea"
"Southampton","30 August","West Ham"
"Man City","13 September","Arsenal"
"Swansea","13 September","Chelsea"
"Burnley","13 September","Crystal Palace"
"West Ham","13 September","Hull"
"Aston Villa","13 September","Liverpool"
"QPR","13 September","Man Utd"
"Newcastle","13 September","Southampton"
"Leicester","13 September","Stoke"
"Spurs","13 September","Sunderland"
"Everton","13 September","West Brom"
"Arsenal","20 September","Aston Villa"
"Sunderland","20 September","Burnley"
"Crystal Palace","20 September","Everton"
"Man Utd","20 September","Leicester"
"Chelsea","20 September","Man City"
"Hull","20 September","Newcastle"
"Stoke","20 September","QPR"
"West Brom","20 September","Spurs"
"Southampton","20 September","Swansea"
"Liverpool","20 September","West Ham"
"Spurs","27 September","Arsenal"
"Aston Villa","27 September","Chelsea"
"Leicester","27 September","Crystal Palace"
"Man City","27 September","Hull"
"Everton","27 September","Liverpool"
"West Ham","27 September","Man Utd"
"QPR","27 September","Southampton"
"Newcastle","27 September","Stoke"
"Swansea","27 September","Sunderland"
"Burnley","27 September","West Brom"
"Man City","04 October","Aston Villa"
"Arsenal","04 October","Chelsea"
"Crystal Palace","04 October","Hull"
"Burnley","04 October","Leicester"
"West Brom","04 October","Liverpool"
"Everton","04 October","Man Utd"
"Southampton","04 October","Spurs"
"Stoke","04 October","Sunderland"
"Newcastle","04 October","Swansea"
"QPR","04 October","West Ham"
"Hull","18 October","Arsenal"
"West Ham","18 October","Burnley"
"Chelsea","18 October","Crystal Palace"
"Aston Villa","18 October","Everton"
"Spurs","18 October","Man City"
"Leicester","18 October","Newcastle"
"Liverpool","18 October","QPR"
"Sunderland","18 October","Southampton"
"Swansea","18 October","Stoke"
"Man Utd","18 October","West Brom"
"Everton","25 October","Burnley"
"Hull","25 October","Liverpool"
"Chelsea","25 October","Man Utd"
"Aston Villa","25 October","QPR"
"Stoke","25 October","Southampton"
"Newcastle","25 October","Spurs"
"Arsenal","25 October","Sunderland"
"Leicester","25 October","Swansea"
"Crystal Palace","25 October","West Brom"
"Man City","25 October","West Ham"
"Burnley","01 November","Arsenal"
"Spurs","01 November","Aston Villa"
"QPR","01 November","Chelsea"
"Sunderland","01 November","Crystal Palace"
"Swansea","01 November","Everton"
"Southampton","01 November","Hull"
"West Brom","01 November","Leicester"
"Man Utd","01 November","Man City"
"Liverpool","01 November","Newcastle"
"West Ham","01 November","Stoke"
"Hull","08 November","Burnley"
"Chelsea","08 November","Liverpool"
"Crystal Palace","08 November","Man Utd"
"Man City","08 November","QPR"
"Leicester","08 November","Southampton"
"Stoke","08 November","Spurs"
"Everton","08 November","Sunderland"
"Arsenal","08 November","Swansea"
"Newcastle","08 November","West Brom"
"Aston Villa","08 November","West Ham"
"Man Utd","22 November","Arsenal"
"Southampton","22 November","Aston Villa"
"West Brom","22 November","Chelsea"
"Liverpool","22 November","Crystal Palace"
"West Ham","22 November","Everton"
"Spurs","22 November","Hull"
"Sunderland","22 November","Leicester"
"Swansea","22 November","Man City"
"QPR","22 November","Newcastle"
"Burnley","22 November","Stoke"
"Aston Villa","29 November","Burnley"
"Stoke","29 November","Liverpool"
"Hull","29 November","Man Utd"
"Leicester","29 November","QPR"
"Man City","29 November","Southampton"
"Everton","29 November","Spurs"
"Chelsea","29 November","Sunderland"
"Crystal Palace","29 November","Swansea"
"Arsenal","29 November","West Brom"
"Newcastle","29 November","West Ham"
"Southampton","02 December","Arsenal"
"Newcastle","02 December","Burnley"
"Aston Villa","02 December","Crystal Palace"
"Liverpool","02 December","Leicester"
"Stoke","02 December","Man Utd"
"QPR","02 December","Swansea"
"West Ham","02 December","West Brom"
"Spurs","03 December","Chelsea"
"Hull","03 December","Everton"
"Man City","03 December","Sunderland"
"Leicester","06 December","Aston Villa"
"West Brom","06 December","Hull"
"Sunderland","06 December","Liverpool"
"Everton","06 December","Man City"
"Chelsea","06 December","Newcastle"
"Burnley","06 December","QPR"
"Man Utd","06 December","Southampton"
"Crystal Palace","06 December","Spurs"
"Arsenal","06 December","Stoke"
"Swansea","06 December","West Ham"
"Newcastle","13 December","Arsenal"
"Southampton","13 December","Burnley"
"Hull","13 December","Chelsea"
"Stoke","13 December","Crystal Palace"
"QPR","13 December","Everton"
"Man City","13 December","Leicester"
"Liverpool","13 December","Man Utd"
"West Ham","13 December","Sunderland"
"Spurs","13 December","Swansea"
"Aston Villa","13 December","West Brom"
"Man Utd","20 December","Aston Villa"
"Swansea","20 December","Hull"
"Arsenal","20 December","Liverpool"
"Crystal Palace","20 December","Man City"
"Sunderland","20 December","Newcastle"
"West Brom","20 December","QPR"
"Everton","20 December","Southampton"
"Burnley","20 December","Spurs"
"Chelsea","20 December","Stoke"
"Leicester","20 December","West Ham"
"QPR","26 December","Arsenal"
"Liverpool","26 December","Burnley"
"West Ham","26 December","Chelsea"
"Southampton","26 December","Crystal Palace"
"Stoke","26 December","Everton"
"Spurs","26 December","Leicester"
